#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2021-09-02 10:55:57 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06752280 CACHE LA POUDRE RIV AB BOXELDER CRK NR TIMNATH, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	06752280	54	1983-06-03 09:45:00	MDT	Yes	gbo	USGS	7.07	4060	Unspecified				NONE
USGS	06752280	55	1983-06-10 13:00:00	MDT	Yes	gbo	USGS	7.40	4450	Unspecified				NONE
USGS	06752280	56	1983-06-23 15:00:00	MDT	Yes	gbo	USGS	7.65	4740	Unspecified				NONE
USGS	06752280	71	1984-09-20		Yes	GBO	USGS	2.96	80.7	Fair	0.00	0.50	Clear	NONE
USGS	06752280	72	1984-10-19		Yes	GBO	USGS	2.85	43.0	Good			Clear	NONE
USGS	06752280	73	1984-11-09		Yes	GBO	USGS	3.02	88.0	Good	0.01	0.50	Clear	NONE
USGS	06752280	74	1984-12-06		Yes	GBO/PET	USGS	2.80	43.2	Good	0.02	0.50		NONE
USGS	06752280	75	1985-01-23		Yes	GBO	USGS	3.27	87.5	Fair	0.04	0.50	IceCover	NONE
USGS	06752280	76	1985-02-26		Yes	GBO	USGS	2.75	65.2	Good	0.00	0.50	IceShore	NONE
USGS	06752280	77	1985-03-26		Yes	GBO	USGS	2.38	5.66	Good	0.00	0.50	Clear	NONE
USGS	06752280	78	1985-04-23		Yes	GBO	USGS	2.60	35.1	Good	0.00	0.50	Clear	NONE
USGS	06752280	79	1985-05-20		Yes	GBO	USGS	2.92	114	Good	0.00	0.50	Clear	NONE
USGS	06752280	80	1985-06-19		Yes	EJC	USGS	3.63	390	Good	0.00	0.50	Clear	NONE
USGS	06752280	81	1985-07-16		Yes	EJC/G C	USGS	2.35	7.51	Fair	0.00	0.50	Clear	NONE
USGS	06752280	82	1985-08-16		Yes	EJC	USGS	2.34	4.30	Fair	0.00	0.40	DebrisLight	NONE
USGS	06752280	83	1985-09-11		Yes	GMC	USGS	2.50	21.0	Fair	0.04	0.80	Clear	NONE
USGS	06752280	84	1985-10-12		Yes	GMC	USGS	2.39	6.95	Fair			Clear	NONE
USGS	06752280	85	1985-11-25		Yes	GMC	USGS	2.39	4.52	Good			IceCover	NONE
USGS	06752280	86	1985-12-23		Yes	GMC	USGS		19.2	Good			IceCover	NONE
USGS	06752280	87	1986-01-16		Yes	GMC	USGS	2.37	5.61	Fair	0.00	0.50	IceCover	NONE
USGS	06752280	88	1986-02-06		Yes	GMC	USGS	2.38	6.12	Fair	0.00	2.00	Clear	NONE
USGS	06752280	89	1986-03-17		Yes	GMC	USGS	2.57	30.8	Good			Clear	NONE
USGS	06752280	90	1986-04-13		Yes	GMC	USGS	3.19	223	Good	0.02	1.50	Clear	NONE
USGS	06752280	91	1986-05-20		Yes	GMC	USGS	3.17	214	Good	0.07	1.50	Clear	NONE
USGS	06752280	92	1986-06-16		Yes	GMC	USGS	5.88	2710	Fair	0.00	3.50		NONE
USGS	06752280	93	1986-07-09		Yes	GMC	USGS	3.72	361	Good	0.04	1.00	Clear	NONE
USGS	06752280	94	1986-08-18		Yes	GMC	USGS	2.53	5.59	Fair	0.00	2.00	Clear	NONE
USGS	06752280	95	1986-09-04		Yes	GMC	USGS	2.65	15.7	Fair			Clear	NONE
